latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
4.815466,-74.309204,2589.0,-18000,America/Bogota,GMT-5

time,temperature_2m (Â°C),relative_humidity_2m (%),precipitation (mm)
2025-10-10T00:00,10.4,100,0.00
2025-10-10T01:00,10.6,100,0.00
2025-10-10T02:00,10.2,100,0.00
2025-10-10T03:00,9.4,100,0.00
2025-10-10T04:00,9.7,100,0.00
2025-10-10T05:00,10.1,99,0.10
2025-10-10T06:00,10.2,98,0.10
2025-10-10T07:00,11.8,96,0.00
2025-10-10T08:00,14.0,84,0.00
2025-10-10T09:00,14.9,78,0.00
2025-10-10T10:00,16.3,74,0.10
2025-10-10T11:00,15.8,77,0.10
2025-10-10T12:00,16.3,80,0.50
2025-10-10T13:00,14.7,86,0.30
2025-10-10T14:00,13.6,92,0.40
2025-10-10T15:00,14.5,86,0.40
2025-10-10T16:00,13.3,89,3.90
2025-10-10T17:00,12.0,92,2.00
2025-10-10T18:00,10.8,99,0.00
2025-10-10T19:00,11.4,98,0.00
2025-10-10T20:00,11.1,96,0.00
2025-10-10T21:00,11.7,95,0.00
2025-10-10T22:00,10.9,96,0.10
2025-10-10T23:00,10.7,95,0.30
2025-10-11T00:00,10.8,94,0.60
2025-10-11T01:00,10.3,100,0.00
2025-10-11T02:00,10.0,100,0.00
2025-10-11T03:00,9.9,98,0.80
2025-10-11T04:00,10.0,99,0.10
2025-10-11T05:00,9.4,89,1.70
2025-10-11T06:00,10.2,93,0.00
2025-10-11T07:00,11.2,98,0.00
2025-10-11T08:00,13.8,89,0.00
2025-10-11T09:00,16.1,75,0.10
2025-10-11T10:00,17.0,75,0.20
2025-10-11T11:00,14.5,88,4.70
2025-10-11T12:00,14.6,92,0.60
2025-10-11T13:00,13.3,91,0.70
2025-10-11T14:00,13.6,97,1.20
2025-10-11T15:00,13.7,93,0.90
2025-10-11T16:00,13.4,90,0.30
2025-10-11T17:00,11.9,96,2.90
2025-10-11T18:00,11.9,97,0.10
2025-10-11T19:00,11.7,98,0.10
2025-10-11T20:00,11.7,95,0.30
2025-10-11T21:00,11.3,98,0.30
2025-10-11T22:00,10.9,100,2.70
2025-10-11T23:00,11.2,99,0.10
2025-10-12T00:00,10.9,98,0.00
2025-10-12T01:00,11.1,100,1.50
2025-10-12T02:00,11.1,98,1.70
2025-10-12T03:00,11.1,97,2.90
2025-10-12T04:00,11.1,99,3.20
2025-10-12T05:00,11.2,98,1.90
2025-10-12T06:00,11.3,98,0.60
2025-10-12T07:00,11.0,93,1.60
2025-10-12T08:00,12.8,88,0.00
2025-10-12T09:00,15.3,71,0.00
2025-10-12T10:00,16.1,66,0.10
2025-10-12T11:00,16.8,68,0.30
2025-10-12T12:00,14.7,78,1.90
2025-10-12T13:00,13.6,86,0.80
2025-10-12T14:00,13.7,82,0.10
2025-10-12T15:00,13.1,88,0.10
2025-10-12T16:00,12.8,89,0.20
2025-10-12T17:00,12.8,90,0.10
2025-10-12T18:00,11.2,100,0.00
2025-10-12T19:00,12.0,99,0.00
2025-10-12T20:00,12.1,94,0.60
2025-10-12T21:00,12.0,99,0.20
2025-10-12T22:00,11.6,97,2.40
2025-10-12T23:00,11.3,99,2.60
2025-10-13T00:00,11.2,100,3.00
2025-10-13T01:00,11.7,100,2.10
2025-10-13T02:00,11.4,97,0.90
2025-10-13T03:00,11.2,98,2.40
2025-10-13T04:00,10.9,100,0.60
2025-10-13T05:00,11.1,98,0.10
2025-10-13T06:00,9.8,100,0.00
2025-10-13T07:00,11.1,100,0.00
2025-10-13T08:00,13.7,89,0.00
2025-10-13T09:00,14.5,78,0.20
2025-10-13T10:00,15.3,81,0.10
2025-10-13T11:00,16.0,78,0.20
2025-10-13T12:00,13.8,85,1.10
2025-10-13T13:00,14.4,85,0.10
2025-10-13T14:00,15.0,83,0.10
2025-10-13T15:00,14.3,85,0.20
2025-10-13T16:00,13.6,88,0.10
2025-10-13T17:00,13.5,89,0.10
2025-10-13T18:00,12.3,95,0.00
2025-10-13T19:00,12.0,97,0.00
2025-10-13T20:00,11.5,98,0.00
2025-10-13T21:00,10.8,99,0.00
2025-10-13T22:00,10.4,98,0.00
2025-10-13T23:00,10.3,99,0.00
2025-10-14T00:00,9.6,100,0.00
2025-10-14T01:00,10.1,97,0.00
2025-10-14T02:00,9.2,98,0.00
2025-10-14T03:00,9.7,99,0.00
2025-10-14T04:00,9.8,99,0.00
2025-10-14T05:00,9.8,100,0.10
2025-10-14T06:00,10.0,97,0.00
2025-10-14T07:00,10.9,97,0.00
2025-10-14T08:00,13.6,80,0.10
2025-10-14T09:00,15.2,69,0.10
2025-10-14T10:00,16.8,64,0.20
2025-10-14T11:00,17.6,61,0.00
2025-10-14T12:00,17.6,61,0.80
2025-10-14T13:00,15.8,69,0.70
2025-10-14T14:00,16.4,69,0.10
2025-10-14T15:00,15.6,69,0.10
2025-10-14T16:00,15.1,75,0.00
2025-10-14T17:00,14.1,83,0.00
2025-10-14T18:00,12.4,94,0.00
2025-10-14T19:00,10.8,99,0.00
2025-10-14T20:00,10.6,90,0.00
2025-10-14T21:00,11.2,82,0.00
2025-10-14T22:00,11.8,77,0.00
2025-10-14T23:00,11.3,78,0.00
2025-10-15T00:00,10.9,80,0.00
2025-10-15T01:00,10.6,85,0.00
2025-10-15T02:00,10.3,86,0.00
2025-10-15T03:00,10.3,87,0.00
2025-10-15T04:00,9.9,88,0.00
2025-10-15T05:00,8.9,91,0.00
2025-10-15T06:00,8.2,93,0.00
2025-10-15T07:00,11.8,79,0.00
2025-10-15T08:00,14.1,71,0.00
2025-10-15T09:00,16.0,63,0.00
2025-10-15T10:00,17.2,65,0.00
2025-10-15T11:00,16.1,74,0.50
2025-10-15T12:00,16.5,79,2.10
2025-10-15T13:00,17.2,71,0.10
2025-10-15T14:00,15.7,79,3.30
2025-10-15T15:00,13.8,85,6.40
2025-10-15T16:00,14.3,83,0.00
2025-10-15T17:00,14.1,84,0.00
2025-10-15T18:00,12.1,97,0.00
2025-10-15T19:00,12.0,95,0.00
2025-10-15T20:00,11.8,95,0.00
2025-10-15T21:00,12.1,90,0.00
2025-10-15T22:00,11.7,90,0.00
2025-10-15T23:00,10.8,90,0.60
2025-10-16T00:00,10.3,92,0.10
2025-10-16T01:00,10.3,98,0.50
2025-10-16T02:00,9.1,99,2.20
2025-10-16T03:00,9.3,99,0.20
2025-10-16T04:00,10.3,99,0.10
2025-10-16T05:00,9.9,100,0.20
2025-10-16T06:00,10.2,99,0.20
2025-10-16T07:00,11.5,100,0.00
2025-10-16T08:00,13.6,85,0.20
2025-10-16T09:00,13.5,83,0.00
2025-10-16T10:00,13.8,81,0.00
2025-10-16T11:00,14.6,86,0.10
2025-10-16T12:00,16.0,81,0.10
2025-10-16T13:00,14.7,85,0.20
2025-10-16T14:00,14.4,85,0.30
2025-10-16T15:00,14.5,81,0.20
2025-10-16T16:00,15.0,76,0.00
2025-10-16T17:00,13.7,84,0.00
2025-10-16T18:00,12.2,95,0.00
2025-10-16T19:00,11.1,100,0.10
2025-10-16T20:00,10.7,100,0.00
2025-10-16T21:00,10.9,100,0.00
2025-10-16T22:00,9.9,100,0.00
2025-10-16T23:00,10.7,99,0.00
2025-10-17T00:00,10.2,100,0.00
2025-10-17T01:00,10.3,98,0.00
2025-10-17T02:00,9.8,94,2.50
2025-10-17T03:00,10.5,98,0.60
2025-10-17T04:00,10.6,93,3.70
2025-10-17T05:00,10.5,98,0.80
2025-10-17T06:00,10.3,100,0.00
2025-10-17T07:00,11.6,97,0.00
2025-10-17T08:00,13.7,82,0.20
2025-10-17T09:00,15.3,71,0.30
2025-10-17T10:00,16.2,64,0.30
2025-10-17T11:00,15.2,71,0.30
2025-10-17T12:00,15.8,79,0.30
2025-10-17T13:00,14.1,90,0.30
2025-10-17T14:00,14.4,90,0.10
2025-10-17T15:00,14.4,85,0.10
2025-10-17T16:00,14.7,83,0.00
2025-10-17T17:00,13.5,88,0.00
2025-10-17T18:00,12.2,97,0.00
2025-10-17T19:00,11.9,97,0.00
2025-10-17T20:00,12.2,95,0.50
2025-10-17T21:00,11.5,95,0.10
2025-10-17T22:00,11.5,97,0.80
2025-10-17T23:00,11.4,98,1.30
